title,description,start_date,place,number_of_deaths,causes_of_violence,sources_of_information,lga
"Bandits vs Security Operatives, Zamfara","Bandits killed 10 security personnel, comprising policemen and members of the Zamfara State Community Protection Guard (CPG), popularly known as ‘Askarawa. During the attack, some bandits were neutralized. It was assumed that 10 bandits were also killed in the attack.",2025-10-15T23:00:00.000Z,Gidan Giya village along Tsafe- Funtua Highway,12,crime,"Daily Trust (8 ) , Other newspaper 3 (20 ) , The Punch (8 )",Tsafe
"Bandits vs Miners, Kaduna",7 people were killed in a violent attack involving bandits and illegal miners in an attempt to extort gold from miners at gunpoint. One of the sources reported that the attackers were herders.,2025-10-15T23:00:00.000Z,Kuyello Ward,8,crime,"The Punch (7 ) , The Nation (11 ) , Daily Trust (7 )",Birnin-Gwari
"Banditry, Katisna","Bandits killed one person, injured another, and rustled dozens of cattle during a raid. The attackers, reportedly numbering about one hundred, also attacked other communities where they displaced residents and also rustled their cattle.",2025-10-12T23:00:00.000Z,"Kwadawa community, Gachi Ward",1,crime,Daily Trust (1 ),Kankia
"Banditry, Kwara","Soldiers intercepted bandits during a military patrol, killed some (assuming at least 5), and rescued 9 kidnap victims. Some LGAs in the state and adjoining communities in Kogi have come under bandit attacks. Anti-banditry Operation FANSAN YAMMA has been ongoing in those communities.",2025-10-12T23:00:00.000Z,Okoloke-Patigi route,5,crime,The Nation (5 ),Pategi
"Banditry, Katsina",Soldiers from the 17 Brigade repelled an attack and killed a gunman. They also recovered three AK-47 rifles and 11 motorcycles. Two soldiers were wounded in action but were reported stabilized.,2025-10-11T23:00:00.000Z,Mabai,1,crime,The Nation (1 ),Kankara
"Troops vs IPOB/ESN, Imo",Troops of the 34 Artillery Brigade neutralized one Indigenous People of Biafra/ Eastern Security Network (IPOB/ESN) fighter and arrested two others during a raid on their hideout.,2025-10-11T23:00:00.000Z,Mbaitoli,1,crime,The Nation (1 ),Mbatoli
"Banditry, Niger","Troops of the Nigerian Army neutralised several armed bandits during a fierce gun battle when the bandits, who arrived in large numbers, engaged the troops in a heavy exchange of gunfire. It is assumed that 20 bandits were killed in the attack",2025-10-11T23:00:00.000Z,Tungan-Magajiya–Sabongari Road,20,crime,Other newspaper 2 (20 ),Rijau
"Banditry, Zamfara",Bandits killed 8 members of the Civilian Joint Task Force (CJTF). They got information on the arrival of the victims and laid an ambush for them. This event is backdated by 2 days from its report since no date was stated.,2025-10-10T23:00:00.000Z,Dan Loto village,8,crime,Daily Trust (8 ),Tsafe
"Soldiers vs Boko Haram, Borno","Soldiers on a clearance operation killed 4 Boko Haram fighters. Some kidnapped victims were rescued while the money, assumed to be ransom, was recovered.",2025-10-09T23:00:00.000Z,"Zundur, along the Gajiram – Bolori – Mile 40 – Gajiganna axis",4,"political issue, religious issue","Other newspaper 3 (4 ) , Vanguard (4 )",Nganzai
"Boko Haram Attack, Borno","Boko Haram attacked a military base and killed an unspecified number of soldiers. It is assumed that at least 5 soldiers lost their lives. There were reports that the attackers also suffered some casualties. Since no figure was reported, it is assumed that 5 insurgents died.",2025-10-09T23:00:00.000Z,Ngamdu,10,"political issue, religious issue",Daily Trust (10 ),Kaga
"Soldiers vs Boko Haram, Borno","Soldiers on a clearance operation killed 5 Boko Haram fighters. Arms and ammunition were also recovered. According to the report, no casualties were recorded by the soldiers.",2025-10-09T23:00:00.000Z,Goni Dunari village,5,"political issue, religious issue","Other newspaper 3 (5 ) , Vanguard (5 )",Magumeri
"Boko Haram Attack, Borno","Troops of Operation HADIN KAI successfully repelled a coordinated Boko Haram attack on a military post. In the process, four soldiers died while five others sustained injuries.",2025-10-08T23:00:00.000Z,Ngamdu along the Damaturu Maiduguri highway,4,"political issue, religious issue","The Nation (4 ) , The Punch (4 ) , Other newpapers 1 (4 )",Maiduguri
"Banditry, Kwara","Bandits raided a community and killed Mr. Ndako. They also abducted his step-brother, Audu. The victims were raided while they were asleep.",2025-10-07T23:00:00.000Z,Bjshewa settlement,1,crime,The Guardian (1 ),Edu
"Soldiers vs Bandits, Ekiti","Soldiers on special operations killed 2 bandits and recovered 2 AK-47 rifles. The operation was conducted along the Ekiti-Kogi border. This incident is backdated to October 6, 2025 which is within the reported timeframe.",2025-10-05T23:00:00.000Z,Iyemero,2,crime,"The Nation (2 ) , Vanguard (2 )",Ikole
"Banditry, Kwara","Armed bandits stormed a village, killed a resident, and abducted the traditional ruler. The attack occurred during Maghrib prayers.",2025-10-04T23:00:00.000Z,Rani Ramat village,1,crime,"Daily Trust (1 ) , The Guardian (1 )",Pategi
"Banditry, Kwara","Two suspected bandits were killed during a midnight raid on a community. The attackers had successfully kidnapped 2 women and taken them into a bush, but were pursued by vigilantes who killed 2 of them.",2025-10-07T23:00:00.000Z,Effan,2,crime,Daily Trust (2 ),Edu
"Soldiers vs Boko Haram, Borno","Troops of 151 Task Force Battalion killed 5 ISWAP/Boko Haram insurgents in an ambush. Details of the incident were not reported. The incident was assumed to have occured on October 4, 2025 which is within the reported timeline.",2025-10-03T23:00:00.000Z,Dipchari,5,"political issue, religious issue","Vanguard (5 ) , Other newspaper 3 (5 ) , The Guardian (5 )",Bama
"Soldiers vs Boko Haram, Borno","Troops of North East Joint Task Force ‘Operation Hadin Kai’ killed scores (assuming at least 40) of Boko Haram fighters in a failed ambush on their convoy. Three soldiers also lost their lives, while others were injured. Arms and ammunition were also recovered.",2025-10-03T23:00:00.000Z,Gwoza,43,"political issue, religious issue",Vanguard (43 ),Gwoza
"Banditry, Zamfara","A traditional ruler, the Hakimi of Dogon Dawa, was killed by Ado Allero, a bandit leader who was at the forefront of peace talks in the North-West. Allero's gang was alleged to have been responsible for the kidnapping of 40 worshippers from a mosque in the LGA.",2025-10-02T23:00:00.000Z,Keta village,1,crime,The Punch (1 ),Tsafe
"Herdsmen vs Youth, Enugu",A 30-year-old man identified as Onuchukwu Ogbaki died in an attack by suspected Fulani herdsmen. He was attacked on his farm.,2025-10-02T23:00:00.000Z,"Onoli, Ugwuleshi Autonomous Community",4,"cattle grazing, land issue",The Punch (4 ),Agwu
"Banditry, Zamfara","About 10 travellers were killed and abducted when heavily armed bandits attacked commuters. It was reported that the gunmen laid siege to the busy highway, halting vehicles and forcing passengers into the surrounding bushes. One of the victims, Abubakar Lawali Sardauna, was shot dead after resisting abduction.",2025-10-02T23:00:00.000Z,Along the Mayanchi–Anka Road,10,crime,The Nation (10 ),Anka
"Banditry, Taraba",Soldiers on a clearance operation killed 2 suspected bandits. The victims were reportedly conveying to plan an attack when they were hit. Arms and ammunition were also recovered.,2025-09-30T23:00:00.000Z,Tor Ikyeghgba,2,crime,This Day (2 ),Wukari
"Banditry, Kaduna","Troops of 1 Brigade ambushed and killed two terrorists and also rescued 8 victims. Seven AK-47 magazines, 180 rounds of 7.62mm ammunition, and two motorcycles were also recovered.",2025-09-30T23:00:00.000Z,Along the Salka–Kinke–Makurdi Road,2,crime,"Other newspaper 3 (2 ) , The Guardian (2 )",Zangon-Kataf
"Bandits Kill Imam, Zamfara",Bandits killed an Islamic cleric and abducted 2 councillors during a raid on a tea shop. The victims were seized while relaxing in the tea joint after the Maghrib (Sunset) prayer.,2025-09-30T23:00:00.000Z,Tsauni,1,crime,Daily Trust (1 ),Gusau
"Bandits Kill Hunter, Kwara","Oluode Ologomo, a powerful hunter whose charms used to protect him, was stripped of his amulets and shot dead by bandits. The incident is believed to have happened in the last week of September 2025. September 30th was assumed as no date was reported.",2025-09-29T23:00:00.000Z,Dabu,1,crime,Other newspaper 3 (1 ),Asa
"Soldiers vs Bandits, Kaduna","Soldiers on a rescue operation killed some fleeing bandits and rescued 5 hostages. It is reported that several fleeing bandits were killed. It is assumed that no fewer than 10 bandits lost their lives. It is also assumed that the incident occured on September 30, 2025, which falls within the reported timeframe.",2025-09-29T23:00:00.000Z,Giwa,10,crime,"Vanguard (10 ) , Other newspaper 2 (10 ) , The Guardian (10 )",Giwa
"Banditry, Niger","Four people were killed, eleven sustained injuries, and nine others were kidnapped during an attack by bandits. Among those abducted was Barrister Isyaku Muhammad Danjuma.",2025-09-29T23:00:00.000Z,Ibeto town,4,crime,Daily Trust (4 ),Magama
"Troops vs ISWAP Terrorists, Benue",Troops of Operation Whirl Stroke killed a violent extremist and rescued 10 abducted passengers.,2025-09-29T23:00:00.000Z,Along the Kyado–Wukari road,1,"political issue, religious issue",Other newspaper 3 (1 ),Katsina-Ala
"Security Operatives vs Bandits, Kwara","Security operatives killed a notorious kidnapper, Maidawa, during a clearance operation. Several of his associates (assuming at least 10) were also killed.",2025-09-29T23:00:00.000Z,Isanlu,11,crime,"Other newpapers 1 (11 ) , Vanguard (11 ) , Daily Trust (10 )",Isin
"Boko Haram Attack, Gwoza","Boko Haram raided a community, killed a civilian, but lost a member when security operatives intervened. The attackers burnt down a palace and several houses. The latest attack came a few days after a member of the Civilian Joint Task Force (CJTF) was killed in an ambush by insurgents (See incident in IBD033419).",2025-09-28T23:00:00.000Z,Kirawa,2,"political issue, religious issue","Vanguard (2 ) , Independent (2 ) , Other newspaper 2 (2 )",Gwoza
"Security Operatives vs Bandits, Kwara","A combined security forces killed an unspecified number of bandits during a raid on their hideouts. It is assumed that no fewer than 10 bandits were killed. However, there was no report indicating if the operatives recorded fatalities. The raid was an aftermath of an attack on residents that claimed about 15 lives (See incident in IBD033436).",2025-09-28T23:00:00.000Z,Baba Sango,10,crime,Nigerian Tribune (10 ),Ifelodun (Kwara)
"Soldiers vs Bandits, Kebbi",Troops of 1 Brigade killed 2 bandits in an ambush and rescued 8 kidnapped victims. They also recovered arms and ammunition from the scene.,2025-09-28T23:00:00.000Z,long the Salka–Kinke–Makurdi Road,2,crime,"Vanguard (2 ) , Other newspaper 3 (2 ) , The Guardian (2 )",Ngaski
"Banditry, Kwara","Suspected bandits killed a Bororo man and a Fulani trader during a raid on a community. Details of the incident were not reported. It is assumed the incident occured in the last week of September, 30th precisely, when other nearby communities came under similar attacks.",2025-09-29T23:00:00.000Z,Alade,2,crime,Other newspaper 3 (2 ),Ifelodun (Kwara)
"Banditry, Kwara","Bandits launched a violent attack on a village, leaving one person dead and another injured. The raid occurred during a heavy downpour at night.",2025-09-27T23:00:00.000Z,Marri Village,1,crime,The Guardian (1 ),Pategi
"Banditry, Kwara","Bandits attacked a community and killed 10 people, including the village head (Baale) and 2 children. They also abducted an unspecified number of people and injured several others.",2025-09-27T23:00:00.000Z,Oke-Ode area,11,crime,"The Guardian (10 ) , Other newspaper 2 (10 ) , Daily Trust (12 )",Ifelodun (Kwara)
"Bandit Raid Mosque, Zamfara","Bandits raided a mosque, killed 5 worshippers and abducted others. The victims were attacked during prayers. A similar raid and abduction was reported in an event in IBD033334.",2025-09-25T23:00:00.000Z,Yandoto,4,crime,"The Nation (4 ) , Other newspaper 2 (4 ) , Daily Trust (5 )",Tsafe
"Student Drowns, Ogun","School Fee Crisis: Violent protests over the collection of illegal fees by the staff of Ilugun High School resulted in the death of one person and the destruction of school property. The victim, identified as Babalola, drowned while escaping from being arrested by Amotekun operatives, whom the school administration had invited to disperse the protesting students.",2025-09-25T23:00:00.000Z,"Ilugun High School, Elega",1,crime,"Daily Trust (1 ) , The Guardian (1 )",Abeokuta North
"Boko Haram Attack, Borno",A member of the Civilian Joint Task Force (CJTF) was killed in an ambush by Boko Haram insurgents. Many passengers were injured while 6 vehicles were set ablaze.,2025-09-25T23:00:00.000Z,Kirawa- Pulka road,1,"political issue, religious issue","Other newspaper 3 (1 ) , Vanguard (1 ) , The Punch (1 )",Gwoza
"Children in the Car Booth, Borno","The lifeless bodies of Zannah Jaridama, 2 children, and his neighbour were found in a car boot. The incident happened days after Zannah, a prominent political supporter of the governor of the state, posted a viral video and social media post attacking alleged “cabals and hypocrites” around the governor. This incident is linked to a political crisis in the state.",2025-09-24T23:00:00.000Z,Maiduguri,3,"crime, political issue","The Nation (3 ) , Daily Trust (3 ) , Other newspaper 2 (3 )",Maiduguri
"Banditry, Kaduna","Heavily armed bandits struck in large numbers, killing Sabitu Hamza and badly injuring Gambo Abdulkadir. Residents complained that attacks on their community have remained unabated.",2025-09-23T23:00:00.000Z,Kauran Fawa village,1,crime,Other newspaper 3 (1 ),Giwa
"Communal Crisis, Cross River","A commercial driver and several people were killed in a communal crisis between the Ochon in Obubra LGA and their Alesi neighbours in Ikom LGA. The conflict, which has been raging for several weeks, has left many people dead, houses set ablaze, farms destroyed, and commercial activities grounded in both communities. It is assumed that 10 people were killed in the latest crisis.",2025-09-22T23:00:00.000Z,Ikom-Ugep highway,10,land issue,Vanguard (10 ),Ikom
